"[""RechercheClinique(GRC)'déﬁcienceintellectuelleetautisme"", ""RechercheClinique(GRC)'déﬁcienceintellectuelleetautisme"", 'PROPN', 'NNP']"
"['andfollowuponspatialandtemporaldifferencesinautism', 'andfollowuponspatialandtemporaldifferencesinautism', 'NOUN', 'NN']"
"['apatientwithmildintellectualdisabilityandautism', 'apatientwithmildintellectualdisabilityandautism', 'PROPN', 'NNP']"
"['ASD)andotherphenotypessuggestiveofayetunexplored', 'asd)andotherphenotypessuggestiveofayetunexplored', 'ADJ', 'JJ']"
"['ASD)andotherphenotypessuggestiveofayetunexplored', 'asd)andotherphenotypessuggestiveofayetunexplored', 'ADJ', 'JJ']"
"['ASD', 'asd', 'ADJ', 'JJ']"
"['ASD', 'asd', 'ADJ', 'JJ']"
"['ASD', 'asd', 'ADJ', 'JJ']"
"['ASD', 'asd', 'ADJ', 'JJ']"
"['ASD', 'asd', 'ADJ', 'JJ']"
"['ASD', 'asd', 'ADJ', 'JJ']"
"['ASD', 'asd', 'ADJ', 'JJ']"
"['ASD', 'asd', 'ADJ', 'JJ']"
"['ASD', 'asd', 'ADJ', 'JJ']"
"['ASD', 'asd', 'ADJ', 'JJ']"
"['ASD', 'asd', 'ADJ', 'JJ']"
"['ASD', 'asd', 'ADJ', 'JJ']"
"['ASD', 'asd', 'ADJ', 'JJ']"
"['ASD', 'asd', 'ADJ', 'JJ']"
"['ASD', 'asd', 'ADJ', 'JJ']"
"['ASD', 'asd', 'ADJ', 'JJ']"
"['ASD', 'asd', 'ADJ', 'JJ']"
"['ASD', 'asd', 'ADJ', 'JJ']"
"['ASD', 'asd', 'ADJ', 'JJ']"
"['ASD', 'asd', 'ADJ', 'JJ']"
"['ASD', 'asd', 'ADJ', 'JJ']"
"['ASD', 'asd', 'ADJ', 'JJ']"
"['ASD', 'asd', 'ADJ', 'JJ']"
"['ASD', 'asd', 'ADJ', 'JJ']"
"['ASD', 'asd', 'ADJ', 'JJ']"
"['ASD', 'asd', 'ADJ', 'JJ']"
"['ASD', 'asd', 'ADJ', 'JJ']"
"['ASD', 'asd', 'ADJ', 'JJ']"
"['ASD', 'asd', 'ADJ', 'JJ']"
"['ASD', 'asd', 'ADJ', 'JJ']"
"['ASD', 'asd', 'ADJ', 'JJ']"
"['ASD', 'asd', 'ADJ', 'JJ']"
"['ASD', 'asd', 'ADJ', 'JJ']"
"['ASD', 'asd', 'ADJ', 'JJ']"
"['ASD', 'asd', 'ADJ', 'JJ']"
"['ASD', 'asd', 'ADJ', 'JJ']"
"['ASD', 'asd', 'ADJ', 'JJ']"
"['ASD', 'asd', 'ADJ', 'JJ']"
"['ASD', 'asd', 'ADJ', 'JJ']"
"['ASD', 'asd', 'ADJ', 'JJ']"
"['ASD', 'asd', 'ADJ', 'JJ']"
"['ASD', 'asd', 'ADJ', 'JJ']"
"['ASD', 'asd', 'ADJ', 'JJ']"
"['ASD', 'asd', 'ADJ', 'JJ']"
"['ASD', 'asd', 'ADJ', 'JJ']"
"['ASD', 'asd', 'ADJ', 'JJ']"
"['ASD', 'asd', 'ADJ', 'JJ']"
"['ASD', 'asd', 'ADJ', 'JJ']"
"['ASD', 'asd', 'ADJ', 'JJ']"
"['ASD', 'asd', 'ADJ', 'JJ']"
"['ASD', 'asd', 'ADJ', 'JJ']"
"['ASD', 'asd', 'ADJ', 'JJ']"
"['ASD', 'asd', 'ADJ', 'JJ']"
"['ASD', 'asd', 'ADJ', 'JJ']"
"['ASD', 'asd', 'ADJ', 'JJ']"
"['ASD', 'asd', 'ADJ', 'JJ']"
"['ASD', 'asd', 'ADJ', 'JJ']"
"['ASD', 'asd', 'ADJ', 'JJ']"
"['ASD', 'asd', 'ADJ', 'JJ']"
"['ASD', 'asd', 'ADJ', 'JJ']"
"['ASD', 'asd', 'ADJ', 'JJ']"
"['ASD', 'asd', 'ADJ', 'JJ']"
"['ASD', 'asd', 'ADJ', 'JJ']"
"['ASD', 'asd', 'ADJ', 'JJ']"
"['ASD', 'asd', 'ADJ', 'JJ']"
"['ASD', 'asd', 'ADJ', 'JJ']"
"['ASD', 'asd', 'ADJ', 'JJ']"
"['ASD', 'asd', 'ADJ', 'JJ']"
"['ASD', 'asd', 'ADJ', 'JJ']"
"['ASD', 'asd', 'ADJ', 'JJ']"
"['ASD', 'asd', 'ADJ', 'JJ']"
"['ASD', 'asd', 'ADJ', 'JJ']"
"['ASD', 'asd', 'ADJ', 'JJ']"
"['ASD', 'asd', 'ADJ', 'JJ']"
"['ASD', 'asd', 'ADJ', 'JJ']"
"['ASD', 'asd', 'ADJ', 'JJ']"
"['ASD', 'asd', 'ADJ', 'JJ']"
"['ASD', 'asd', 'ADJ', 'JJ']"
"['ASD', 'asd', 'ADJ', 'JJ']"
"['ASD', 'asd', 'ADJ', 'JJ']"
"['ASD', 'asd', 'ADJ', 'JJ']"
"['ASD', 'asd', 'ADJ', 'JJ']"
"['ASD', 'asd', 'ADJ', 'JJ']"
"['ASD', 'asd', 'ADJ', 'JJ']"
"['ASD', 'asd', 'ADJ', 'JJ']"
"['ASD', 'asd', 'ADJ', 'JJ']"
"['ASD', 'asd', 'ADJ', 'JJ']"
"['ASD', 'asd', 'ADJ', 'JJ']"
"['ASD', 'asd', 'ADJ', 'JJ']"
"['ASD', 'asd', 'ADJ', 'JJ']"
"['ASD', 'asd', 'ADJ', 'JJ']"
"['ASD', 'asd', 'ADJ', 'JJ']"
"['ASD', 'asd', 'ADJ', 'JJ']"
"['ASD', 'asd', 'ADJ', 'JJ']"
"['ASD', 'asd', 'ADJ', 'JJ']"
"['ASD', 'asd', 'ADJ', 'JJ']"
"['ASD', 'asd', 'ADJ', 'JJ']"
"['ASD', 'asd', 'ADJ', 'JJ']"
"['ASD', 'asd', 'ADJ', 'JJ']"
"['ASD', 'asd', 'ADJ', 'JJ']"
"['ASD', 'asd', 'ADJ', 'JJ']"
"['ASD', 'asd', 'ADJ', 'JJ']"
"['ASD', 'asd', 'ADJ', 'JJ']"
"['ASD', 'asd', 'ADJ', 'JJ']"
"['ASD', 'asd', 'ADJ', 'JJ']"
"['ASD', 'asd', 'ADJ', 'JJ']"
"['ASD', 'asd', 'ADJ', 'JJ']"
"['ASD', 'asd', 'ADJ', 'JJ']"
"['ASD', 'asd', 'ADJ', 'JJ']"
"['ASD', 'asd', 'ADJ', 'JJ']"
"['ASD', 'asd', 'ADJ', 'JJ']"
"['ASD', 'asd', 'ADJ', 'JJ']"
"['ASD', 'asd', 'ADJ', 'JJ']"
"['ASD', 'asd', 'ADJ', 'JJ']"
"['ASD', 'asd', 'ADJ', 'JJ']"
"['ASD', 'asd', 'ADJ', 'JJ']"
"['ASD', 'asd', 'ADJ', 'JJ']"
"['ASD', 'asd', 'ADJ', 'JJ']"
"['ASD', 'asd', 'ADJ', 'JJ']"
"['ASD', 'asd', 'ADJ', 'JJ']"
"['ASD', 'asd', 'ADJ', 'JJ']"
"['ASD', 'asd', 'ADJ', 'JJ']"
"['ASD', 'asd', 'ADJ', 'JJ']"
"['ASD', 'asd', 'ADJ', 'JJ']"
"['ASD', 'asd', 'ADJ', 'JJ']"
"['ASD', 'asd', 'ADJ', 'JJ']"
"['ASD', 'asd', 'ADJ', 'JJ']"
"['ASD', 'asd', 'ADJ', 'JJ']"
"['ASD', 'asd', 'ADJ', 'JJ']"
"['ASD', 'asd', 'ADJ', 'JJ']"
"['ASD', 'asd', 'ADJ', 'JJ']"
"['ASD', 'asd', 'ADJ', 'JJ']"
"['ASD', 'asd', 'ADJ', 'JJ']"
"['ASD', 'asd', 'ADJ', 'JJ']"
"['ASD', 'asd', 'ADJ', 'JJ']"
"['ASD', 'asd', 'ADJ', 'JJ']"
"['ASD', 'asd', 'ADJ', 'JJ']"
"['ASD', 'asd', 'ADJ', 'JJ']"
"['ASD', 'asd', 'ADJ', 'JJ']"
"['ASD', 'asd', 'ADJ', 'JJ']"
"['ASD-', 'asd-', 'NUM', 'CD']"
"['ASD-', 'asd-', 'NUM', 'CD']"
"['ASD', 'ASD', 'PROPN', 'NNP']"
"['ASD', 'ASD', 'PROPN', 'NNP']"
"['ASD', 'ASD', 'PROPN', 'NNP']"
"['ASD', 'ASD', 'PROPN', 'NNP']"
"['ASD', 'ASD', 'PROPN', 'NNP']"
"['ASD', 'ASD', 'PROPN', 'NNP']"
"['ASD', 'ASD', 'PROPN', 'NNP']"
"['ASD', 'ASD', 'PROPN', 'NNP']"
"['ASD', 'ASD', 'PROPN', 'NNP']"
"['ASD', 'ASD', 'PROPN', 'NNP']"
"['ASD', 'ASD', 'PROPN', 'NNP']"
"['ASD', 'ASD', 'PROPN', 'NNP']"
"['ASD', 'ASD', 'PROPN', 'NNP']"
"['ASD', 'ASD', 'PROPN', 'NNP']"
"['ASD', 'ASD', 'PROPN', 'NNP']"
"['ASD', 'ASD', 'PROPN', 'NNP']"
"['ASD', 'ASD', 'PROPN', 'NNP']"
"['ASD', 'ASD', 'PROPN', 'NNP']"
"['ASD', 'ASD', 'PROPN', 'NNP']"
"['ASD', 'ASD', 'PROPN', 'NNP']"
"['ASD', 'ASD', 'PROPN', 'NNP']"
"['ASD', 'ASD', 'PROPN', 'NNP']"
"['ASD', 'ASD', 'PROPN', 'NNP']"
"['ASD', 'ASD', 'PROPN', 'NNP']"
"['ASD', 'ASD', 'PROPN', 'NNP']"
"['ASD', 'ASD', 'PROPN', 'NNP']"
"['ASD', 'ASD', 'PROPN', 'NNP']"
"['ASD', 'ASD', 'PROPN', 'NNP']"
"['ASD', 'ASD', 'PROPN', 'NNP']"
"['ASD', 'ASD', 'PROPN', 'NNP']"
"['ASD', 'ASD', 'PROPN', 'NNP']"
"['ASD', 'ASD', 'PROPN', 'NNP']"
"['ASD', 'ASD', 'PROPN', 'NNP']"
"['ASD', 'ASD', 'PROPN', 'NNP']"
"['ASD', 'ASD', 'PROPN', 'NNP']"
"['ASD', 'ASD', 'PROPN', 'NNP']"
"['ASD', 'ASD', 'PROPN', 'NNP']"
"['ASD', 'ASD', 'PROPN', 'NNP']"
"['ASD', 'ASD', 'PROPN', 'NNP']"
"['ASD', 'ASD', 'PROPN', 'NNP']"
"['ASD', 'ASD', 'PROPN', 'NNP']"
"['ASD', 'ASD', 'PROPN', 'NNP']"
"['ASD', 'ASD', 'PROPN', 'NNP']"
"['ASD', 'ASD', 'PROPN', 'NNP']"
"['ASD', 'ASD', 'PROPN', 'NNP']"
"['ASD', 'ASD', 'PROPN', 'NNP']"
"['ASD', 'ASD', 'PROPN', 'NNP']"
"['ASD', 'ASD', 'PROPN', 'NNP']"
"['ASD', 'ASD', 'PROPN', 'NNP']"
"['ASD', 'ASD', 'PROPN', 'NNP']"
"['ASD', 'ASD', 'PROPN', 'NNP']"
"['ASD', 'ASD', 'PROPN', 'NNP']"
"['ASD', 'ASD', 'PROPN', 'NNP']"
"['ASD', 'ASD', 'PROPN', 'NNP']"
"['ASD', 'ASD', 'PROPN', 'NNP']"
"['ASD', 'ASD', 'PROPN', 'NNP']"
"['ASD', 'ASD', 'PROPN', 'NNP']"
"['ASD', 'ASD', 'PROPN', 'NNP']"
"['ASD', 'ASD', 'PROPN', 'NNP']"
"['ASD', 'ASD', 'PROPN', 'NNP']"
"['ASD', 'ASD', 'PROPN', 'NNP']"
"['ASD', 'ASD', 'PROPN', 'NNP']"
"['ASD', 'ASD', 'PROPN', 'NNP']"
"['ASD', 'ASD', 'PROPN', 'NNP']"
"['ASD', 'ASD', 'PROPN', 'NNP']"
"['ASD', 'ASD', 'PROPN', 'NNP']"
"['ASD', 'ASD', 'PROPN', 'NNP']"
"['ASD', 'ASD', 'PROPN', 'NNP']"
"['ASD', 'ASD', 'PROPN', 'NNP']"
"['ASD', 'ASD', 'PROPN', 'NNP']"
"['ASD', 'ASD', 'PROPN', 'NNP']"
"['ASD', 'ASD', 'PROPN', 'NNP']"
"['ASD', 'ASD', 'PROPN', 'NNP']"
"['ASD', 'ASD', 'PROPN', 'NNP']"
"['ASD', 'ASD', 'PROPN', 'NNP']"
"['ASD', 'ASD', 'PROPN', 'NNP']"
"['ASD', 'ASD', 'PROPN', 'NNP']"
"['ASD', 'ASD', 'PROPN', 'NNP']"
"['ASD', 'ASD', 'PROPN', 'NNP']"
"['ASD', 'ASD', 'PROPN', 'NNP']"
"['ASD', 'ASD', 'PROPN', 'NNP']"
"['ASD', 'ASD', 'PROPN', 'NNP']"
"['ASD', 'ASD', 'PROPN', 'NNP']"
"['ASD', 'ASD', 'PROPN', 'NNP']"
"['ASD', 'ASD', 'PROPN', 'NNP']"
"['ASD', 'ASD', 'PROPN', 'NNP']"
"['ASD', 'ASD', 'PROPN', 'NNP']"
"['ASD', 'ASD', 'PROPN', 'NNP']"
"['ASD', 'ASD', 'PROPN', 'NNP']"
"['ASD', 'ASD', 'PROPN', 'NNP']"
"['ASD', 'ASD', 'PROPN', 'NNP']"
"['ASD', 'ASD', 'PROPN', 'NNP']"
"['ASD', 'ASD', 'PROPN', 'NNP']"
"['ASD', 'ASD', 'PROPN', 'NNP']"
"['ASD', 'ASD', 'PROPN', 'NNP']"
"['ASD', 'ASD', 'PROPN', 'NNP']"
"['ASD', 'ASD', 'PROPN', 'NNP']"
"['ASD', 'ASD', 'PROPN', 'NNP']"
"['ASD', 'ASD', 'PROPN', 'NNP']"
"['ASD', 'ASD', 'PROPN', 'NNP']"
"['ASD', 'ASD', 'PROPN', 'NNP']"
"['ASD', 'ASD', 'PROPN', 'NNP']"
"['ASD', 'ASD', 'PROPN', 'NNP']"
"['ASD', 'ASD', 'PROPN', 'NNP']"
"['ASD', 'ASD', 'PROPN', 'NNP']"
"['ASD', 'ASD', 'PROPN', 'NNP']"
"['ASD', 'ASD', 'PROPN', 'NNP']"
"['ASD', 'ASD', 'PROPN', 'NNP']"
"['ASD', 'ASD', 'PROPN', 'NNP']"
"['ASD', 'ASD', 'PROPN', 'NNP']"
"['ASD', 'ASD', 'PROPN', 'NNP']"
"['ASD', 'ASD', 'PROPN', 'NNP']"
"['ASD', 'ASD', 'PROPN', 'NNP']"
"['ASD', 'ASD', 'PROPN', 'NNP']"
"['ASD', 'ASD', 'PROPN', 'NNP']"
"['ASD', 'ASD', 'PROPN', 'NNP']"
"['ASD', 'ASD', 'PROPN', 'NNP']"
"['ASD', 'ASD', 'PROPN', 'NNP']"
"['ASD', 'ASD', 'PROPN', 'NNP']"
"['ASD', 'ASD', 'PROPN', 'NNP']"
"['ASD', 'ASD', 'PROPN', 'NNP']"
"['ASD', 'ASD', 'PROPN', 'NNP']"
"['ASD', 'ASD', 'PROPN', 'NNP']"
"['ASD', 'ASD', 'PROPN', 'NNP']"
"['ASD', 'ASD', 'PROPN', 'NNP']"
"['ASD', 'ASD', 'PROPN', 'NNP']"
"['ASD', 'ASD', 'PROPN', 'NNP']"
"['ASD', 'ASD', 'PROPN', 'NNP']"
"['ASD', 'ASD', 'PROPN', 'NNP']"
"['ASD', 'ASD', 'PROPN', 'NNP']"
"['ASD', 'ASD', 'PROPN', 'NNP']"
"['ASD', 'ASD', 'PROPN', 'NNP']"
"['ASD', 'ASD', 'PROPN', 'NNP']"
"['ASD', 'ASD', 'PROPN', 'NNP']"
"['ASD', 'ASD', 'PROPN', 'NNP']"
"['ASD', 'ASD', 'PROPN', 'NNP']"
"['ASD', 'ASD', 'PROPN', 'NNP']"
"['ASD', 'ASD', 'PROPN', 'NNP']"
"['ASD', 'ASD', 'PROPN', 'NNP']"
"['ASD', 'ASD', 'PROPN', 'NNP']"
"['ASD', 'ASD', 'PROPN', 'NNP']"
"['ASD', 'ASD', 'PROPN', 'NNP']"
"['ASD', 'ASD', 'PROPN', 'NNP']"
"['ASD', 'ASD', 'PROPN', 'NNP']"
"['ASD', 'ASD', 'PROPN', 'NNP']"
"['ASD', 'ASD', 'PROPN', 'NNP']"
"['ASD', 'ASD', 'PROPN', 'NNP']"
"['ASD', 'ASD', 'PROPN', 'NNP']"
"['ASD', 'ASD', 'PROPN', 'NNP']"
"['ASD', 'ASD', 'PROPN', 'NNP']"
"['ASD', 'ASD', 'PROPN', 'NNP']"
"['ASD', 'ASD', 'PROPN', 'NNP']"
"['ASD', 'ASD', 'PROPN', 'NNP']"
"['ASD', 'ASD', 'PROPN', 'NNP']"
"['ASD', 'ASD', 'PROPN', 'NNP']"
"['ASD', 'ASD', 'PROPN', 'NNP']"
"['ASD', 'ASD', 'PROPN', 'NNP']"
"['ASD', 'ASD', 'PROPN', 'NNP']"
"['ASD', 'ASD', 'PROPN', 'NNP']"
"['ASD', 'ASD', 'PROPN', 'NNP']"
"['ASD', 'ASD', 'PROPN', 'NNP']"
"['ASD', 'ASD', 'PROPN', 'NNP']"
"['ASD', 'ASD', 'PROPN', 'NNP']"
"['ASD', 'ASD', 'PROPN', 'NNP']"
"['ASD', 'ASD', 'PROPN', 'NNP']"
"['ASD', 'ASD', 'PROPN', 'NNP']"
"['ASD', 'ASD', 'PROPN', 'NNP']"
"['ASD', 'ASD', 'PROPN', 'NNP']"
"['ASD', 'ASD', 'PROPN', 'NNP']"
"['ASD', 'ASD', 'PROPN', 'NNP']"
"['ASD', 'ASD', 'PROPN', 'NNP']"
"['ASD', 'ASD', 'PROPN', 'NNP']"
"['ASD', 'ASD', 'PROPN', 'NNP']"
"['ASD', 'ASD', 'PROPN', 'NNP']"
"['ASD', 'ASD', 'PROPN', 'NNP']"
"['ASD', 'ASD', 'PROPN', 'NNP']"
"['ASD', 'ASD', 'PROPN', 'NNP']"
"['ASD', 'ASD', 'PROPN', 'NNP']"
"['ASD', 'ASD', 'PROPN', 'NNP']"
"['ASD', 'ASD', 'PROPN', 'NNP']"
"['ASD', 'ASD', 'PROPN', 'NNP']"
"['ASD', 'ASD', 'PROPN', 'NNP']"
"['ASD', 'ASD', 'PROPN', 'NNP']"
"['ASD', 'ASD', 'PROPN', 'NNP']"
"['ASD', 'ASD', 'PROPN', 'NNP']"
"['ASD', 'ASD', 'PROPN', 'NNP']"
"['ASD', 'ASD', 'PROPN', 'NNP']"
"['ASD', 'ASD', 'PROPN', 'NNP']"
"['ASD', 'ASD', 'PROPN', 'NNP']"
"['ASD', 'ASD', 'PROPN', 'NNP']"
"['ASD', 'ASD', 'PROPN', 'NNP']"
"['ASD', 'ASD', 'PROPN', 'NNP']"
"['ASD', 'ASD', 'PROPN', 'NNP']"
"['ASD', 'ASD', 'PROPN', 'NNP']"
"['ASD', 'ASD', 'PROPN', 'NNP']"
"['ASD', 'ASD', 'PROPN', 'NNP']"
"['ASD', 'ASD', 'PROPN', 'NNP']"
"['ASD', 'ASD', 'PROPN', 'NNP']"
"['ASD', 'ASD', 'PROPN', 'NNP']"
"['ASD', 'ASD', 'PROPN', 'NNP']"
"['ASD', 'ASD', 'PROPN', 'NNP']"
"['ASD', 'ASD', 'PROPN', 'NNP']"
"['ASD', 'ASD', 'PROPN', 'NNP']"
"['ASD', 'ASD', 'PROPN', 'NNP']"
"['ASD', 'ASD', 'PROPN', 'NNP']"
"['ASD', 'ASD', 'PROPN', 'NNP']"
"['ASD', 'ASD', 'PROPN', 'NNP']"
"['ASD', 'ASD', 'PROPN', 'NNP']"
"['ASD', 'ASD', 'PROPN', 'NNP']"
"['ASD', 'ASD', 'PROPN', 'NNP']"
"['ASD', 'ASD', 'PROPN', 'NNP']"
"['ASD', 'ASD', 'PROPN', 'NNP']"
"['ASD', 'ASD', 'PROPN', 'NNP']"
"['ASD', 'ASD', 'PROPN', 'NNP']"
"['ASD', 'ASD', 'PROPN', 'NNP']"
"['ASD', 'ASD', 'PROPN', 'NNP']"
"['ASD', 'ASD', 'PROPN', 'NNP']"
"['ASD', 'ASD', 'PROPN', 'NNP']"
"['ASD', 'ASD', 'PROPN', 'NNP']"
"['ASD', 'ASD', 'PROPN', 'NNP']"
"['ASD', 'ASD', 'PROPN', 'NNP']"
"['ASD', 'ASD', 'PROPN', 'NNP']"
"['ASD', 'ASD', 'PROPN', 'NNP']"
"['ASD', 'ASD', 'PROPN', 'NNP']"
"['ASD', 'ASD', 'PROPN', 'NNP']"
"['ASD', 'ASD', 'PROPN', 'NNP']"
"['ASD', 'ASD', 'PROPN', 'NNP']"
"['ASD', 'ASD', 'PROPN', 'NNP']"
"['ASD', 'ASD', 'PROPN', 'NNP']"
"['ASD', 'ASD', 'PROPN', 'NNP']"
"['ASD', 'ASD', 'PROPN', 'NNP']"
"['ASD', 'ASD', 'PROPN', 'NNP']"
"['ASD', 'ASD', 'PROPN', 'NNP']"
"['ASD', 'ASD', 'PROPN', 'NNP']"
"['ASD', 'ASD', 'PROPN', 'NNP']"
"['ASD', 'ASD', 'PROPN', 'NNP']"
"['ASD', 'ASD', 'PROPN', 'NNP']"
"['ASD', 'ASD', 'PROPN', 'NNP']"
"['ASD', 'ASD', 'PROPN', 'NNP']"
"['ASD', 'ASD', 'PROPN', 'NNP']"
"['ASD', 'ASD', 'PROPN', 'NNP']"
"['ASD', 'ASD', 'PROPN', 'NNP']"
"['ASD', 'ASD', 'PROPN', 'NNP']"
"['ASD', 'ASD', 'PROPN', 'NNP']"
"['ASD', 'ASD', 'PROPN', 'NNP']"
"['ASD', 'ASD', 'PROPN', 'NNP']"
"['ASD', 'ASD', 'PROPN', 'NNP']"
"['ASD', 'ASD', 'PROPN', 'NNP']"
"['ASD', 'ASD', 'PROPN', 'NNP']"
"['ASD', 'ASD', 'PROPN', 'NNP']"
"['ASD', 'ASD', 'PROPN', 'NNP']"
"['ASD', 'ASD', 'PROPN', 'NNP']"
"['ASD', 'ASD', 'PROPN', 'NNP']"
"['ASD', 'ASD', 'PROPN', 'NNP']"
"['ASD', 'ASD', 'PROPN', 'NNP']"
"['ASD', 'ASD', 'PROPN', 'NNP']"
"['ASD', 'ASD', 'PROPN', 'NNP']"
"['ASD', 'ASD', 'PROPN', 'NNP']"
"['ASD', 'ASD', 'PROPN', 'NNP']"
"['ASD', 'ASD', 'PROPN', 'NNP']"
"['ASD', 'ASD', 'PROPN', 'NNP']"
"['ASD', 'ASD', 'PROPN', 'NNP']"
"['ASD', 'ASD', 'PROPN', 'NNP']"
"['ASD', 'ASD', 'PROPN', 'NNP']"
"['ASD', 'ASD', 'PROPN', 'NNP']"
"['ASD', 'ASD', 'PROPN', 'NNP']"
"['ASD', 'ASD', 'PROPN', 'NNP']"
"['ASD', 'ASD', 'PROPN', 'NNP']"
"['ASD', 'ASD', 'PROPN', 'NNP']"
"['ASD', 'ASD', 'PROPN', 'NNP']"
"['ASD', 'ASD', 'PROPN', 'NNP']"
"['ASD', 'ASD', 'PROPN', 'NNP']"
"['ASD', 'ASD', 'PROPN', 'NNP']"
"['ASD', 'ASD', 'PROPN', 'NNP']"
"['ASD', 'ASD', 'PROPN', 'NNP']"
"['ASD', 'ASD', 'PROPN', 'NNP']"
"['ASD', 'ASD', 'PROPN', 'NNP']"
"['ASD', 'ASD', 'PROPN', 'NNP']"
"['ASD', 'ASD', 'PROPN', 'NNP']"
"['ASD', 'ASD', 'PROPN', 'NNP']"
"['ASD', 'ASD', 'PROPN', 'NNP']"
"['ASD', 'ASD', 'PROPN', 'NNP']"
"['ASD', 'ASD', 'PROPN', 'NNP']"
"['ASD', 'ASD', 'PROPN', 'NNP']"
"['ASD', 'ASD', 'PROPN', 'NNP']"
"['ASD', 'ASD', 'PROPN', 'NNP']"
"['ASD', 'ASD', 'PROPN', 'NNP']"
"['ASD', 'ASD', 'PROPN', 'NNP']"
"['ASD', 'ASD', 'PROPN', 'NNP']"
"['ASD', 'ASD', 'PROPN', 'NNP']"
"['ASD', 'ASD', 'PROPN', 'NNP']"
"['ASD', 'ASD', 'PROPN', 'NNP']"
"['ASD', 'ASD', 'PROPN', 'NNP']"
"['ASD', 'ASD', 'PROPN', 'NNP']"
"['ASD', 'ASD', 'PROPN', 'NNP']"
"['ASD', 'ASD', 'PROPN', 'NNP']"
"['ASD', 'ASD', 'PROPN', 'NNP']"
"['ASD', 'ASD', 'PROPN', 'NNP']"
"['ASD', 'ASD', 'PROPN', 'NNP']"
"['ASD', 'ASD', 'PROPN', 'NNP']"
"['ASD', 'ASD', 'PROPN', 'NNP']"
"['ASD', 'ASD', 'PROPN', 'NNP']"
"['ASD', 'ASD', 'PROPN', 'NNP']"
"['ASD', 'ASD', 'PROPN', 'NNP']"
"['ASD', 'ASD', 'PROPN', 'NNP']"
"['ASD', 'ASD', 'PROPN', 'NNP']"
